
Room events/bookings....
Room - CSB/01/020
Event name, duration, date/time, planned size
CSC3062/PR1/01,120,23.10.2018 12:00:00,160
CSC3062/PR1/01,120,30.10.2018 12:00:00,160
CSC3062/PR1/01,120,06.11.2018 12:00:00,160
CSC3062/PR1/01,120,13.11.2018 12:00:00,160
CSC3062/PR1/01,120,20.11.2018 12:00:00,160
CSC3062/PR1/01,120,27.11.2018 12:00:00,160
CSC3062/PR1/01,120,04.12.2018 12:00:00,160
CSC3062/PR1/01,120,11.12.2018 12:00:00,160
CSC3064/PR1/01,120,25.01.2019 13:00:00,200
CSC3064/PR1/01,120,01.02.2019 13:00:00,200
CSC3064/PR1/01,120,08.02.2019 13:00:00,200
CSC3064/PR1/01,120,15.02.2019 13:00:00,200
CSC3064/PR1/01,120,22.02.2019 13:00:00,200
CSC3064/PR1/01,120,01.03.2019 13:00:00,200
CSC3064/PR1/01,120,08.03.2019 13:00:00,200
CSC3064/PR1/01,120,15.03.2019 13:00:00,200
CSC3064/PR1/01,120,22.03.2019 13:00:00,200
CSC3064/PR1/01,120,29.03.2019 13:00:00,200
CSC3064/PR1/01,120,05.04.2019 13:00:00,200
CSC4007/PR1/01,120,24.01.2019 15:00:00,60
CSC4007/PR1/01,120,31.01.2019 15:00:00,60
CSC4007/PR1/01,120,07.02.2019 15:00:00,60
CSC4007/PR1/01,120,14.02.2019 15:00:00,60
CSC4007/PR1/01,120,21.02.2019 15:00:00,60
CSC4007/PR1/01,120,28.02.2019 15:00:00,60
CSC4007/PR1/01,120,07.03.2019 15:00:00,60
CSC4007/PR1/01,120,14.03.2019 15:00:00,60
CSC4007/PR1/01,120,21.03.2019 15:00:00,60
CSC4007/PR1/01,120,28.03.2019 15:00:00,60
CSC4007/PR1/01,120,04.04.2019 15:00:00,60
CSC7081/PR1/01,180,25.09.2018 17:30:00,50
CSC7081/PR1/01,180,02.10.2018 17:30:00,50
CSC7081/PR1/01,180,09.10.2018 17:30:00,50
CSC7081/PR1/01,180,16.10.2018 17:30:00,50
CSC7081/PR1/01,180,23.10.2018 17:30:00,50
CSC7081/PR1/01,180,30.10.2018 17:30:00,50
CSC7081/PR1/01,180,06.11.2018 17:30:00,50
CSC7081/PR1/01,180,13.11.2018 17:30:00,50
CSC7081/PR1/01,180,20.11.2018 17:30:00,50
CSC7081/PR1/01,180,27.11.2018 17:30:00,50
CSC7081/PR1/01,180,04.12.2018 17:30:00,50
CSC7081/PR1/01,180,11.12.2018 17:30:00,50
CSC7081/PR1/01,180,15.01.2019 17:30:00,50
CSC7081/PR1/01,180,22.01.2019 17:30:00,50
CSC7081/PR1/01,180,29.01.2019 17:30:00,50
CSC7081/PR1/01,180,05.02.2019 17:30:00,50
CSC7081/PR1/01,180,12.02.2019 17:30:00,50
CSC7081/PR1/01,180,19.02.2019 17:30:00,50
CSC7081/PR1/01,180,26.02.2019 17:30:00,50
CSC7081/PR1/01,180,05.03.2019 17:30:00,50
CSC7081/PR1/01,180,12.03.2019 17:30:00,50
CSC7081/PR1/01,180,19.03.2019 17:30:00,50
CSC7081/PR1/01,180,26.03.2019 17:30:00,50
CSC7081/PR1/01,180,02.04.2019 17:30:00,50
CSC7081/PR2/01,180,27.09.2018 17:30:00,50
CSC7081/PR2/01,180,04.10.2018 17:30:00,50
CSC7081/PR2/01,180,11.10.2018 17:30:00,50
CSC7081/PR2/01,180,18.10.2018 17:30:00,50
CSC7081/PR2/01,180,25.10.2018 17:30:00,50
CSC7081/PR2/01,180,01.11.2018 17:30:00,50
CSC7081/PR2/01,180,21.03.2019 17:30:00,50
CSC7081/PR2/01,180,28.03.2019 17:30:00,50
CSC7081/PR2/01,180,04.04.2019 17:30:00,50
CSC7082/PR1/01,180,27.09.2018 17:30:00,50
CSC7082/PR1/01,180,04.10.2018 17:30:00,50
